id_station,nom_station,longitude,latitude,altitude_metres,precipitations_mm,qualite_donnee_rr,date,code_departement
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-06,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-07,01
1004003,AMBERIEU,5.348333,45.955,249,51.0,1.0,1877-08-08,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-09,01
1004003,AMBERIEU,5.348333,45.955,249,6.0,1.0,1877-08-10,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-11,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-12,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-13,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-14,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-15,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-16,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-17,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-18,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-19,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-20,01
1004003,AMBERIEU,5.348333,45.955,249,2.0,1.0,1877-08-21,01
1004003,AMBERIEU,5.348333,45.955,249,6.0,1.0,1877-08-22,01
1004003,AMBERIEU,5.348333,45.955,249,24.0,1.0,1877-08-23,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-24,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-25,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-26,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-27,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-28,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-29,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-30,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-31,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-01,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-02,01
1004003,AMBERIEU,5.348333,45.955,249,2.0,1.0,1877-09-03,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-04,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-05,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-06,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-07,01
1004003,AMBERIEU,5.348333,45.955,249,6.0,1.0,1877-09-08,01
1004003,AMBERIEU,5.348333,45.955,249,37.0,1.0,1877-09-09,01
1004003,AMBERIEU,5.348333,45.955,249,5.0,1.0,1877-09-10,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-11,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-12,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-13,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-14,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-15,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-16,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-17,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-18,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-19,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-20,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-21,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-22,01
